,X,Y,Z,bbox_north,bbox_south,bbox_east,bbox_west,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstyp,name,display_na
14,-7.4637499716129,33.6204167249752,12805.8046875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
15,-7.5970833044129,33.6120833916752,5328.86474609375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
16,-7.5637499712129,33.6120833916752,10898.6962890625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
17,-7.5554166379129,33.6120833916752,13364.376953125,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
18,-7.5470833046129,33.6120833916752,15078.7421875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
19,-7.5387499713129,33.6120833916752,8712.830078125,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
20,-7.5304166380129,33.6120833916752,7212.4306640625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
21,-7.5220833047129,33.6120833916752,7956.8740234375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
22,-7.5137499714129,33.6120833916752,7957.42138671875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
23,-7.5054166381129,33.6120833916752,8574.4013671875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
24,-7.4970833048129,33.6120833916752,9779.12890625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
25,-7.4887499715129,33.6120833916752,11009.6494140625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
26,-7.4804166382129,33.6120833916752,9176.97265625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
27,-7.4720833049129,33.6120833916752,5066.08251953125,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
28,-7.4637499716129,33.6120833916752,14385.1640625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
29,-7.6554166375129,33.6037500583752,2687.28393554688,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
30,-7.6470833042129,33.6037500583752,2495.71606445312,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
31,-7.6387499709129,33.6037500583752,2749.33935546875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
