,id,y,x,name,type,category,surface,parking,KMcluster10,complete_name,Population_inf_1_Km,nombre_de_voisins,index_voisins
28,3639392309,33.5761212,-7.6156344,Acima Mers Sultan,node,Super Market,250,,4.0,"Super Market Acima Mers Sultan at -7.6156344 , 33.5761212",33343.70556640625,15,"[16, 17, 82, 92, 93, 94, 95, 96, 97, 98, 108, 154, 176, 177, 178]"
29,3788381533,33.5808385,-7.5928561,Aswak Assalam,node,Super Market,250,,4.0,"Super Market Aswak Assalam at -7.5928561 , 33.5808385",46686.2958984375,11,"[23, 48, 55, 112, 114, 120, 122, 123, 124, 171, 174]"
30,4100382809,33.5891579,-7.6310019,BIM,node,Super Market,250,,1.0,"Super Market BIM at -7.6310019 , 33.5891579",25635.0205078125,17,"[4, 11, 12, 21, 25, 26, 27, 40, 61, 100, 106, 115, 116, 153, 203, 221, 222]"
31,4114077690,33.5386572,-7.5532235,Marché Salmia 2,node,Super Market,250,,9.0,"Super Market Marché Salmia 2 at -7.5532235 , 33.5386572",91092.1357421875,1,[81]
32,4129023489,33.3808071,-7.5346227,BIM,node,Super Market,250,,2.0,"Super Market BIM at -7.5346227 , 33.3808071",0.0,0,[]
33,4193561290,33.5972407,-7.6152396,BMI,node,Super Market,1500,,4.0,"Super Market BMI at -7.6152396 , 33.5972407",33735.89111328125,11,"[25, 35, 51, 53, 59, 60, 69, 109, 164, 213, 218]"
34,4221347648,33.5905784,-7.5928946,Bim,node,Super Market,250,,4.0,"Super Market Bim at -7.5928946 , 33.5905784",64663.2744140625,21,"[1, 23, 48, 55, 63, 86, 89, 111, 112, 114, 122, 123, 124, 125, 128, 129, 145, 172, 174, 190, 224]"
35,4225325278,33.5886673,-7.6130079,my SuperMarket,node,Super Market,1500,,4.0,"Super Market my SuperMarket at -7.6130079 , 33.5886673",26931.63134765625,13,"[33, 41, 57, 58, 59, 60, 64, 69, 109, 113, 173, 179, 218]"
36,4338345197,33.5925748,-7.4882884,BIM,node,Super Market,250,,6.0,"Super Market BIM at -7.4882884 , 33.5925748",223436.330078125,1,[37]
37,4338387289,33.5935945,-7.49564,BIM,node,Super Market,250,,6.0,"Super Market BIM at -7.49564 , 33.5935945",169792.08203125,2,"[36, 140]"
38,4346039590,33.6039372,-7.4892783,BIM,node,Super Market,250,,6.0,"Super Market BIM at -7.4892783 , 33.6039372",76780.2939453125,1,[161]
39,4350335179,33.6205532,-7.4870931,BIM,node,Super Market,250,,6.0,"Super Market BIM بيم at -7.4870931 , 33.6205532",38296.3759765625,1,[77]
40,4398086252,33.5882331,-7.6310778,Economat du professeur,node,Super Market,100,,1.0,"Super Market Economat du professeur at -7.6310778 , 33.5882331",21277.794921875,15,"[4, 12, 21, 25, 26, 30, 61, 82, 100, 106, 116, 153, 203, 221, 222]"
41,4486145290,33.5844973,-7.6080134,Carrefour,node,Super Market,1500,,4.0,"Super Market Carrefour at -7.6080134 , 33.5844973",25030.11328125,15,"[35, 55, 57, 58, 59, 64, 109, 113, 120, 121, 122, 124, 125, 173, 179]"
42,4547873290,33.5479552,-7.5974437,market arabe,node,Super Market,100,,9.0,"Super Market سوق الخليل at -7.5974437 , 33.5479552",91149.69140625,3,"[44, 168, 200]"
43,4588766267,33.5395666,-7.5833828,BIM,node,Super Market,250,,9.0,"Super Market BIM at -7.5833828 , 33.5395666",104315.525390625,3,"[136, 137, 160]"
44,4680487690,33.540036,-7.6003544,Acima 2,node,Super Market,250,,9.0,"Super Market Acima آسيما at -7.6003544 , 33.540036",86846.49609375,2,"[42, 168]"
45,4745754458,33.5745369,-7.6499745,Acima 3,node,Super Market,250,,1.0,"Super Market Acima at -7.6499745 , 33.5745369",31789.81591796875,9,"[18, 19, 20, 52, 84, 85, 87, 150, 217]"
46,4949762492,33.5982648,-7.5223526,BIM,node,Super Market,250,,0.0,"Super Market BİM at -7.5223526 , 33.5982648",76063.9140625,3,"[14, 56, 105]"
47,5081744174,33.568153,-7.5316741,Bim,node,Super Market,250,,0.0,"Super Market Bim at -7.5316741 , 33.568153",287138.97265625,2,"[50, 54]"
48,5126989232,33.5866306,-7.5924065,Tachfine center,node,Super Market,250,,4.0,"Super Market Tachfine center at -7.5924065 , 33.5866306",46686.2958984375,19,"[1, 23, 24, 29, 34, 55, 86, 89, 111, 112, 114, 122, 123, 124, 125, 128, 172, 174, 224]"
49,5291843491,33.5759943,-7.5179027,Bim,node,Super Market,250,,0.0,"Super Market Bim at -7.5179027 , 33.5759943",207777.943359375,0,[]
50,5291843492,33.5725129,-7.5318442,Bim,node,Super Market,250,,0.0,"Super Market Bim at -7.5318442 , 33.5725129",187858.865234375,1,[47]
51,5314907624,33.6002411,-7.6178059,my SuperMarket,node,Super Market,1500,,4.0,"Super Market my SuperMarket at -7.6178059 , 33.6002411",18380.09228515625,6,"[25, 33, 53, 164, 213, 218]"
52,5321031121,33.5739187,-7.6445744,Carrefour,node,Super Market,1500,,1.0,"Super Market Carrefour at -7.6445744 , 33.5739187",37580.548828125,10,"[10, 20, 45, 83, 84, 85, 134, 214, 217, 220]"
53,5322671621,33.600148,-7.6178386,my SuperMarket,node,Super Market,1500,,4.0,"Super Market my SuperMarket at -7.6178386 , 33.600148",18380.09228515625,6,"[25, 33, 51, 164, 213, 218]"
54,5506425821,33.5614104,-7.5337165,BIM,node,Super Market,250,,0.0,"Super Market BIM بيم at -7.5337165 , 33.5614104",217028.14453125,1,[47]
55,5579609066,33.5841408,-7.599484,Carrefour Market,node,Super Market,1500,,4.0,"Super Market Carrefour Market at -7.599484 , 33.5841408",32533.6708984375,20,"[23, 29, 34, 41, 48, 63, 64, 89, 111, 112, 113, 114, 120, 121, 122, 123, 124, 125, 172, 179]"
