,y,x,categ,cluster
0,33.5446668,-7.6404008,0,3.0
1,33.5945384,-7.595292,0,5.0
2,33.5746919,-7.7081046,0,2.0
3,33.5771567,-7.6741813,0,2.0
4,33.587934,-7.6393035,0,2.0
5,33.5946995,-7.6515832,0,2.0
6,33.5908294,-7.6461785,0,2.0
7,33.6022232,-7.5788395,0,5.0
8,33.5981369,-7.6644676,0,2.0
9,33.5640326,-7.555968,0,1.0
10,33.5801558,-7.6407794,0,2.0
11,33.5972247,-7.6346254,0,2.0
12,33.5918499,-7.6384408,0,2.0
13,33.6014315,-7.6346726,0,2.0
14,33.595682,-7.531687,0,0.0
15,33.601049,-7.632989,0,2.0
16,33.5730326,-7.6198771,0,2.0
17,33.5729969,-7.6201882,0,2.0
18,33.5733212,-7.6564955,0,2.0
19,33.5737413,-7.6556158,0,2.0
20,33.5708852,-7.6517909,0,2.0
21,33.5879874,-7.6412286,0,2.0
22,33.557744,-7.559864,0,1.0
23,33.5835673,-7.596623,0,5.0
24,33.5841994,-7.5826163,0,5.0
25,33.5939838,-7.6244925,0,2.0
26,33.5957829,-7.628286,0,2.0
27,33.597148,-7.6294045,0,2.0
28,33.5761212,-7.6156344,0,5.0
29,33.5808385,-7.5928561,0,5.0
30,33.5891579,-7.6310019,0,2.0
31,33.5386572,-7.5532235,0,1.0
32,33.3808071,-7.5346227,0,4.0
33,33.5972407,-7.6152396,0,5.0
34,33.5905784,-7.5928946,0,5.0
35,33.5886673,-7.6130079,0,5.0
36,33.5925748,-7.4882884,0,0.0
37,33.5935945,-7.49564,0,0.0
38,33.6039372,-7.4892783,0,0.0
39,33.6205532,-7.4870931,0,0.0
40,33.5882331,-7.6310778,0,2.0
41,33.5844973,-7.6080134,0,5.0
42,33.5479552,-7.5974437,0,1.0
43,33.5395666,-7.5833828,0,1.0
44,33.540036,-7.6003544,0,1.0
45,33.5745369,-7.6499745,0,2.0
46,33.5982648,-7.5223526,0,0.0
47,33.568153,-7.5316741,0,1.0
48,33.5866306,-7.5924065,0,5.0
49,33.5759943,-7.5179027,0,0.0
50,33.5725129,-7.5318442,0,0.0
51,33.6002411,-7.6178059,0,5.0
52,33.5739187,-7.6445744,0,2.0
53,33.600148,-7.6178386,0,5.0
54,33.5614104,-7.5337165,0,1.0
55,33.5841408,-7.599484,0,5.0
56,33.5930481,-7.5174715,0,0.0
57,33.588586,-7.6110077,0,5.0
58,33.5879069,-7.6125249,0,5.0
59,33.588499,-7.6144239,0,5.0
60,33.59444,-7.6086746,0,5.0
61,33.5842229,-7.6375868,0,2.0
62,33.5553862,-7.6997912,0,6.0
63,33.5926838,-7.6011795,0,5.0
64,33.586847,-7.6033536,0,5.0
65,33.5998615,-7.6374127,0,2.0
66,33.6019964,-7.6380539,0,2.0
67,33.6008678,-7.6355528,0,2.0
68,33.5343791,-7.7254623,0,6.0
69,33.5944393,-7.6061698,0,5.0
70,33.5189452,-7.6444846,0,3.0
71,33.5217794,-7.6455492,0,3.0
72,33.5147228,-7.6453389,0,3.0
73,33.5275334,-7.649661,0,3.0
74,33.5845244,-7.5545517,0,5.0
75,33.4753036,-7.6069947,0,3.0
76,33.612414,-7.499001,0,0.0
77,33.6180007,-7.4804327,0,0.0
78,33.6028221,-7.51024,0,0.0
79,33.6085701,-7.5204759,0,0.0
80,33.5660726,-7.6386639,0,2.0
81,33.5337483,-7.5561429,0,1.0
82,33.5833045,-7.6221079,0,5.0
83,33.5740027,-7.6361846,0,2.0
84,33.5757154,-7.6473604,0,2.0
85,33.5765392,-7.6464177,0,2.0
86,33.5937022,-7.5987385,0,5.0
87,33.5761384,-7.6601328,0,2.0
88,33.5668178,-7.6559634,0,2.0
89,33.591678,-7.5948403,0,5.0
90,33.6083504,-7.4998647,0,0.0
91,33.5865086,-7.5030457,0,0.0
92,33.5802619,-7.6224175,0,2.0
93,33.5805361,-7.6217608,0,2.0
94,33.5802289,-7.6232078,0,2.0
95,33.5798484,-7.6228174,0,2.0
96,33.5794161,-7.6229794,0,2.0
97,33.5789653,-7.6221811,0,2.0
98,33.5787764,-7.6219061,0,2.0
99,33.5739454,-7.5588138,0,1.0
100,33.593301,-7.6273077,0,2.0
101,33.5624485,-7.5748432,0,1.0
102,33.5886301,-7.6418577,0,2.0
103,33.607527,-7.5368732,0,0.0
104,33.5992312,-7.6373297,0,2.0
105,33.6021269,-7.5265618,0,0.0
106,33.5897112,-7.6295197,0,2.0
107,33.5630833,-7.6476427,0,2.0
108,33.5710869,-7.6094122,0,5.0
109,33.5894279,-7.6137309,0,5.0
110,33.5987457,-7.5751282,0,5.0
111,33.5950257,-7.6276333,1,2.0
112,33.5951397,-7.6273382,1,2.0
113,33.5943551,-7.6337971,1,2.0
114,33.5963722,-7.6163301,1,5.0
115,33.5963544,-7.616749,1,5.0
116,33.5930587,-7.6181422,1,5.0
117,33.5939524,-7.6183165,1,5.0
118,33.5994222,-7.6129472,1,5.0
119,33.5997653,-7.6125836,1,5.0
120,33.5993236,-7.6130555,1,5.0
121,33.5995386,-7.5664679,1,5.0
122,33.6391368,-7.4130746,1,0.0
123,33.5740155,-7.5284972,1,0.0
124,33.6115524,-7.5134651,1,0.0
125,33.6116172,-7.5133176,1,0.0
126,33.5904553,-7.6028211,1,5.0
127,33.5936893,-7.6030594,1,5.0
128,33.5904865,-7.6047841,1,5.0
129,33.5769376,-7.6152246,1,5.0
130,33.5721129,-7.5813362,1,1.0
131,33.5932782,-7.6238499,1,2.0
132,33.5744951,-7.6403394,1,2.0
133,33.5868154,-7.6489909,1,2.0
134,33.5891012,-7.6166528,1,5.0
135,33.5647246,-7.6681486,1,2.0
136,33.5491675,-7.6846023,1,2.0
137,33.5828642,-7.6255218,1,2.0
138,33.5341286,-7.7258915,1,6.0
139,33.590775,-7.6769868,1,2.0
140,33.5950607,-7.6513165,1,2.0
141,33.5943998,-7.6519896,1,2.0
142,33.5948371,-7.614353,1,5.0
143,33.5549151,-7.6316083,1,2.0
144,33.5362076,-7.7291857,1,6.0
145,33.5504501,-7.5977387,1,1.0
146,33.5764747,-7.7055148,1,2.0
147,33.5980974,-7.613788,1,5.0
148,33.3914966,-7.5640846,1,4.0
149,33.593057,-7.598525,2,5.0
150,33.5892298,-7.5965419,2,5.0
151,33.5880813,-7.6037302,2,5.0
152,33.5888428,-7.5973879,2,5.0
153,33.5974373,-7.6290061,2,2.0
154,33.5963033,-7.6309065,2,2.0
155,33.4391387,-7.5209454,2,4.0
156,33.4575282,-7.5218118,2,4.0
157,33.5212361,-7.5574575,2,1.0
158,33.5825408,-7.6021553,2,5.0
159,33.5827681,-7.6039363,2,5.0
160,33.5835667,-7.5981966,2,5.0
161,33.5869146,-7.5949272,2,5.0
162,33.5876079,-7.598817,2,5.0
163,33.5880346,-7.602086,2,5.0
164,33.5908396,-7.6544861,2,2.0
165,33.5948903,-7.6037693,2,5.0
166,33.5951462,-7.5944075,2,5.0
167,33.5963947,-7.5986993,2,5.0
168,33.5284272,-7.6797646,2,3.0
169,33.5470132,-7.7442477,2,6.0
170,33.5992711,-7.6352132,2,2.0
171,33.4996801,-7.6589881,2,3.0
172,33.5793354,-7.6363671,2,2.0
173,33.5076139,-7.6314676,2,3.0
174,33.5460644,-7.5840928,2,1.0
175,33.5454093,-7.5835536,2,1.0
176,33.5627036,-7.5934349,2,1.0
177,33.572145,-7.5977452,2,5.0
178,33.3889948,-7.5370177,2,4.0
179,33.5885145,-7.4987502,2,0.0
180,33.5934905,-7.5821275,2,5.0
181,33.6016802,-7.6330158,2,2.0
182,33.5101583,-7.6081449,2,3.0
183,33.4053584,-7.5342901,2,4.0
184,33.4781674,-7.7561438,2,6.0
185,33.5947842,-7.5873788,2,5.0
186,33.4870125,-7.6734753,2,3.0
187,33.4850515,-7.6711922,2,3.0
188,33.4706834,-7.5136215,2,4.0
189,33.507225,-7.4302449,2,4.0
190,33.5789079,-7.6549391,2,2.0
191,33.5482425,-7.5732862,2,1.0
192,33.5371836,-7.6425542,2,3.0
193,33.5807727,-7.6318467,2,2.0
194,33.574859,-7.6101748,2,5.0
195,33.5538978,-7.5628193,2,1.0
196,33.5675533,-7.5832292,2,1.0
197,33.5317175,-7.6746083,2,3.0
198,33.4996267,-7.5419767,2,4.0
199,33.5118639,-7.5480767,2,1.0
200,33.5447978,-7.5830327,2,1.0
201,33.6039884,-7.492582,2,0.0
202,33.4089455,-7.5392691,2,4.0
203,33.5282171,-7.4941711,2,0.0
204,33.5047862,-7.7440845,2,6.0
205,33.5994768,-7.6132333,2,5.0
206,33.5380991,-7.7176864,2,6.0
207,33.578109,-7.5528897,2,1.0
208,33.5738358,-7.5541675,2,1.0
209,33.5402019,-7.6003164,2,1.0
210,33.5097981,-7.6307589,2,3.0
211,33.5675851,-7.5823165,2,1.0
212,33.5771499,-7.5878003,2,5.0
213,33.5897715,-7.5965725,2,5.0
214,33.5878069,-7.6159032,2,5.0
215,33.58582,-7.5843591,2,5.0
216,33.5716067,-7.5996778,2,5.0
217,33.57716,-7.615592,2,5.0
218,33.5734761,-7.6149564,2,5.0
219,33.572219,-7.6141208,2,5.0
220,33.5835911,-7.6050094,2,5.0
221,33.5636135,-7.6337291,2,2.0
222,33.5033322,-7.6591383,2,3.0
223,33.4498437,-7.5179838,2,4.0
224,33.4307971,-7.5229345,2,4.0
225,33.4541136,-7.5211152,2,4.0
226,33.566709,-7.6766458,2,2.0
227,33.5341064,-7.7238849,2,6.0
228,33.5123915,-7.701579,2,6.0
229,33.4708846,-7.7755989,2,6.0
230,33.4780755,-7.7558921,2,6.0
231,33.5958156,-7.6006599,2,5.0
232,33.5194105,-7.6933359,2,6.0
233,33.4851447,-7.6722805,2,3.0
234,33.5063539,-7.6314093,2,3.0
235,33.5093765,-7.6313264,2,3.0
236,33.5095476,-7.6318077,2,3.0
237,33.5134999,-7.6316073,2,3.0
238,33.4874825,-7.6338318,2,3.0
239,33.4662505,-7.5141552,2,4.0
240,33.4569214,-7.5214191,2,4.0
241,33.5536408,-7.5916834,2,1.0
242,33.5661757,-7.5059259,2,0.0
243,33.5175058,-7.7579516,2,6.0
244,33.5831242,-7.6231905,2,2.0
245,33.6206902,-7.4572487,2,0.0
246,33.6021731,-7.4675277,2,0.0
247,33.6222385,-7.4549535,2,0.0
248,33.4908342,-7.5825205,2,3.0
249,33.517846,-7.6102363,2,3.0
250,33.5430389,-7.4087843,2,0.0
251,33.4980671,-7.5039893,2,4.0
252,33.5058597,-7.7106339,2,6.0
432,33.4613152,-7.6516631,3,3.0
433,33.5175026,-7.6583805,3,3.0
434,33.5993825,-7.6123131,3,5.0
435,33.5767396,-7.6364792,3,2.0
436,33.5532527,-7.6571082,3,2.0
437,33.5632426,-7.6586212,3,2.0
438,33.5719544,-7.6479067,3,2.0
439,33.595345,-7.6183219,3,5.0
440,33.5501636,-7.6519513,3,2.0
441,33.579126,-7.6361947,3,2.0
442,33.5855888,-7.6295962,3,2.0
443,33.5896049,-7.6258831,3,2.0
444,33.6061756,-7.5732731,3,5.0
445,33.5903553,-7.5896849,3,5.0
452,33.5927542,-7.6274916,4,2.0
453,33.5456171,-7.6637519,4,3.0
454,33.5508926,-7.6671314,4,2.0
455,33.539804,-7.6641876,4,3.0
456,33.5454024,-7.6565627,4,3.0
